Member id,SEC,FEH,MT,SEX,AGE,EDU,HS,CHILD,CS,Affluence Index,No. of Brands,Brand Runs,Total Volume,No. of  Trans,Value,Trans / Brand Runs,Vol/Tran,Avg. Price ,Pur Vol No Promo - %,Pur Vol Promo 6 %,Pur Vol Other Promo %,"Br. Cd. 57, 144",Br. Cd. 55,Br. Cd. 272,Br. Cd. 286,Br. Cd. 24,Br. Cd. 481,Br. Cd. 352,Br. Cd. 5,Others 999,Pr Cat 1,Pr Cat 2,Pr Cat 3,Pr Cat 4,PropCat 5,PropCat 6,PropCat 7,PropCat 8,PropCat 9,PropCat 10,PropCat 11,PropCat 12,PropCat 13,PropCat 14,PropCat 15,,,,,,,,,,,,,,,,,,,,,
1010010,4,3,10,1,4,4,2,4,1,2,3,17,8025,24,818.00,1.41,334.38,10.19,100.0%,0.0%,0.0%,37.7%,13.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,49.2%,23.4%,56.1%,13.1%,7.5%,50.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2.8%,0.0%,13.1%,34.0%,,,,,,,,,,,,,,,,,,,,,
1010020,3,2,10,2,2,4,4,2,1,19,5,25,13975,40,1681.50,1.60,349.38,12.03,88.7%,9.7%,1.6%,2.1%,7.5%,0.0%,0.0%,0.0%,5.9%,0.0%,14.5%,69.9%,29.3%,54.7%,9.5%,6.4%,45.6%,34.7%,2.7%,1.6%,1.4%,0.0%,5.9%,0.0%,0.0%,8.1%,0.0%,,,,,,,,,,,,,,,,,,,,,
1014020,2,3,10,2,4,5,6,4,1,23,5,37,23100,63,1950.00,1.70,366.67,8.44,94.2%,1.9%,3.9%,2.6%,54.5%,0.0%,3.0%,0.0%,0.0%,0.0%,1.9%,37.9%,12.0%,31.8%,56.2%,0.0%,24.5%,12.1%,3.4%,1.1%,0.9%,0.0%,0.0%,1.6%,0.0%,56.2%,0.3%,,,,,,,,,,,,,,,,,,,,,
1014030,4,0,0,0,4,0,0,5,0,0,2,4,1500,4,114.00,1.00,375.00,7.60,100.0%,0.0%,0.0%,40.0%,60.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,40.0%,60.0%,0.0%,40.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,60.0%,0.0%,,,,,,,,,,,,,,,,,,,,,
1014190,4,1,10,2,3,4,4,3,1,10,3,6,8300,13,591.00,2.17,638.46,7.12,61.4%,14.5%,24.1%,4.8%,14.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,80.7%,0.0%,4.8%,14.5%,80.7%,80.7%,0.0%,0.0%,4.8%,0.0%,0.0%,0.0%,0.0%,0.0%,14.5%,0.0%,,,,,,,,,,,,,,,,,,,,,
1017020,4,3,10,2,3,4,5,2,1,13,3,26,18175,41,1705.50,1.58,443.29,9.38,100.0%,0.0%,0.0%,7.7%,6.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,85.7%,21.6%,45.0%,6.6%,26.8%,48.7%,9.9%,0.0%,0.7%,7.2%,0.0%,0.0%,0.0%,0.0%,6.6%,27.0%,,,,,,,,,,,,,,,,,,,,,
1017110,4,2,10,2,4,1,3,2,1,11,4,17,9950,26,1007.50,1.53,382.69,10.13,97.7%,2.3%,0.0%,45.2%,4.5%,0.8%,0.0%,0.0%,0.0%,0.0%,0.0%,49.5%,6.8%,65.8%,4.5%,22.9%,82.2%,0.0%,2.3%,0.8%,0.0%,0.0%,0.0%,0.0%,0.0%,4.5%,10.3%,,,,,,,,,,,,,,,,,,,,,
1017160,4,3,10,2,2,4,5,3,0,0,3,8,9300,25,569.50,3.13,372.00,6.12,93.5%,0.0%,6.5%,4.3%,79.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,16.7%,4.0%,4.3%,89.5%,2.2%,6.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.8%,0.0%,89.5%,3.2%,,,,,,,,,,,,,,,,,,,,,
1017360,4,3,10,2,4,4,6,4,1,17,2,12,26490,27,3113.50,2.25,981.11,11.75,89.8%,10.2%,0.0%,38.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,61.5%,10.8%,89.2%,0.0%,0.0%,70.5%,28.0%,0.0%,0.0%,1.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,
1017460,1,3,5,1,4,7,3,4,1,6,4,13,7455,18,990.50,1.38,414.17,13.29,100.0%,0.0%,0.0%,6.7%,12.1%,0.0%,0.0%,0.0%,0.0%,0.0%,40.2%,41.0%,61.4%,9.8%,12.1%,16.8%,23.9%,46.3%,15.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,12.1%,2.7%,,,,,,,,,,,,,,,,,,,,,
