Customer Number,Clothing Division,Housewares Division,Health Products Division,Automotive Division,Personal Electronics Division,Computers Division,Garden Division,Novelty Gift Division,Jewelry Division,,,,,,,,,,
000011569,0,1,1,1,1,0,0,1,0,,,,,,,,,,
000013714,0,1,1,1,1,0,1,1,1,,,,,,,,,,
000046391,0,1,1,1,1,0,1,1,1,,,,,,,,,,
000067264,0,0,1,1,1,0,1,1,0,,,,,,,,,,
000067363,0,0,1,0,1,0,1,1,0,,,,,,,,,,
000072553,0,1,1,1,1,0,1,1,1,,,,,,,,,,
000079814,0,1,1,0,1,0,1,0,0,,,,,,,,,,
000080903,0,1,1,0,1,0,0,1,0,,,,,,,,,,
000091439,0,0,1,1,1,0,1,0,1,,,,,,,,,,
000096701,0,1,1,1,1,0,1,1,1,,,,,,,,,,
000098517,1,1,1,1,1,0,1,1,1,,,,,,,,,,
000104356,0,0,1,0,1,0,1,1,0,,,,,,,,,,
000132829,0,1,1,0,1,0,0,1,1,,,,,,,,,,
000155424,0,1,1,0,1,1,1,1,1,,,,,,,,,,
000163055,0,1,1,0,1,0,1,1,1,,,,,,,,,,
000244756,0,0,1,1,1,0,1,0,0,,,,,,,,,,
000261198,0,1,1,0,1,0,1,1,1,,,,,,,,,,
000265041,0,1,1,0,1,0,0,1,0,,,,,,,,,,
000277251,0,0,1,0,1,0,0,0,0,,,,,,,,,,
000285023,0,0,1,1,1,0,1,0,1,,,,,,,,,,
000298000,1,1,1,0,1,0,0,0,1,,,,,,,,,,
000311985,0,1,1,0,1,0,1,1,1,,,,,,,,,,
000339184,0,0,1,1,1,0,1,1,1,,,,,,,,,,
000398537,0,1,1,1,1,0,1,1,1,,,,,,,,,,
000422147,0,0,1,1,0,0,1,0,1,,,,,,,,,,
000433649,0,0,1,1,1,0,1,1,1,,,,,,,,,,
000435925,0,1,1,1,0,0,1,0,1,,,,,,,,,,
000446385,0,1,1,1,1,0,1,1,1,,,,,,,,,,
000469171,0,1,1,0,0,0,1,1,1,,,,,,,,,,
000517763,0,0,1,1,1,0,1,1,1,,,,,,,,,,
000521682,0,0,1,0,0,0,1,0,0,,,,,,,,,,
000563619,0,1,1,0,1,1,1,1,1,,,,,,,,,,
000584268,0,1,1,0,1,0,1,1,1,,,,,,,,,,
